volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
0.0,1614988800.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-05 18:00:00,BTC-25JUN21-44000-C
0.0,1615075200.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-06 18:00:00,BTC-25JUN21-44000-C
0.0,1615161600.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-07 18:00:00,BTC-25JUN21-44000-C
0.0,1615248000.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-08 18:00:00,BTC-25JUN21-44000-C
0.0,1615334400.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-09 18:00:00,BTC-25JUN21-44000-C
0.0,1615420800.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-10 18:00:00,BTC-25JUN21-44000-C
0.0,1615507200.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-11 18:00:00,BTC-25JUN21-44000-C
0.0,1615593600.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-12 18:00:00,BTC-25JUN21-44000-C
0.0,1615680000.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-13 18:00:00,BTC-25JUN21-44000-C
0.0,1615766400.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-14 19:00:00,BTC-25JUN21-44000-C
0.0,1615852800.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-15 19:00:00,BTC-25JUN21-44000-C
0.0,1615939200.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-16 19:00:00,BTC-25JUN21-44000-C
0.0,1616025600.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-17 19:00:00,BTC-25JUN21-44000-C
0.0,1616112000.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-18 19:00:00,BTC-25JUN21-44000-C
0.0,1616198400.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-19 19:00:00,BTC-25JUN21-44000-C
0.0,1616284800.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-20 19:00:00,BTC-25JUN21-44000-C
0.0,1616371200.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-21 19:00:00,BTC-25JUN21-44000-C
0.0,1616457600.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-22 19:00:00,BTC-25JUN21-44000-C
