volume,ticks,status,open,low,high,cost,close,timestamp,Instrument,Type
0.4,1619740800,ok,0.09,0.0875,0.09,0.0355,0.0875,4/29/2021 19:00,BTC-25JUN21-44000-P,P
1,1619827200,ok,0.0815,0.0725,0.0815,0.077,0.0725,4/30/2021 19:00,BTC-25JUN21-44000-P,P
0,1619913600,ok,0.0725,0.0725,0.0725,0,0.0725,5/1/2021 19:00,BTC-25JUN21-44000-P,P
1.3,1620000000,ok,0.135,0.05,0.135,0.15,0.05,5/2/2021 19:00,BTC-25JUN21-44000-P,P
0.9,1620086400,ok,0.0605,0.0605,0.062,0.0552,0.0615,5/3/2021 19:00,BTC-25JUN21-44000-P,P
2.9,1620172800,ok,0.065,0.0465,0.065,0.1534,0.0535,5/4/2021 19:00,BTC-25JUN21-44000-P,P
0,1620259200,ok,0.0535,0.0535,0.0535,0,0.0535,5/5/2021 19:00,BTC-25JUN21-44000-P,P
12.5,1620345600,ok,0.0005,0.0005,0.0005,0.00625,0.0005,5/6/2021 19:00,BTC-25JUN21-44000-P,P
0,1620432000,ok,0.0005,0.0005,0.0005,0,0.0005,5/7/2021 19:00,BTC-25JUN21-44000-P,P
0,1620518400,ok,0.0005,0.0005,0.0005,0,0.0005,5/8/2021 19:00,BTC-25JUN21-44000-P,P
0,1620604800,ok,0.0005,0.0005,0.0005,0,0.0005,5/9/2021 19:00,BTC-25JUN21-44000-P,P
0,1620691200,ok,0.0005,0.0005,0.0005,0,0.0005,5/10/2021 19:00,BTC-25JUN21-44000-P,P
1.2,1620777600,ok,0.0275,0.0275,0.0285,0.0333,0.0285,5/11/2021 19:00,BTC-25JUN21-44000-P,P
0,1620864000,ok,0.0285,0.0285,0.0285,0,0.0285,5/12/2021 19:00,BTC-25JUN21-44000-P,P
1.5,1620950400,ok,0.126,0.1255,0.126,0.18885,0.1255,5/13/2021 19:00,BTC-25JUN21-44000-P,P
0,1621036800,ok,0.1255,0.1255,0.1255,0,0.1255,5/14/2021 19:00,BTC-25JUN21-44000-P,P
0,1621123200,ok,0.1255,0.1255,0.1255,0,0.1255,5/15/2021 19:00,BTC-25JUN21-44000-P,P
0,1621209600,ok,0.1255,0.1255,0.1255,0,0.1255,5/16/2021 19:00,BTC-25JUN21-44000-P,P
0,1621296000,ok,0.1255,0.1255,0.1255,0,0.1255,5/17/2021 19:00,BTC-25JUN21-44000-P,P
3,1621382400,ok,0.378,0.378,0.391,1.1545,0.3855,5/18/2021 19:00,BTC-25JUN21-44000-P,P
0,1621468800,ok,0.3855,0.3855,0.3855,0,0.3855,5/19/2021 19:00,BTC-25JUN21-44000-P,P
0,1621555200,ok,0.3855,0.3855,0.3855,0,0.3855,5/20/2021 19:00,BTC-25JUN21-44000-P,P
0,1621641600,ok,0.3855,0.3855,0.3855,0,0.3855,5/21/2021 19:00,BTC-25JUN21-44000-P,P
0,1621728000,ok,0.3855,0.3855,0.3855,0,0.3855,5/22/2021 19:00,BTC-25JUN21-44000-P,P
0,1621814400,ok,0.3855,0.3855,0.3855,0,0.3855,5/23/2021 19:00,BTC-25JUN21-44000-P,P
11.2,1621900800,ok,0.275,0.275,0.404,4.3704,0.404,5/24/2021 19:00,BTC-25JUN21-44000-P,P
10,1621987200,ok,0.03,0.003,0.03,0.0327,0.003,5/25/2021 19:00,BTC-25JUN21-44000-P,P
0,1622073600,ok,0.003,0.003,0.003,0,0.003,5/26/2021 19:00,BTC-25JUN21-44000-P,P
0,1622160000,ok,0.003,0.003,0.003,0,0.003,5/27/2021 19:00,BTC-25JUN21-44000-P,P
0,1622246400,ok,0.003,0.003,0.003,0,0.003,5/28/2021 19:00,BTC-25JUN21-44000-P,P
0,1622332800,ok,0.003,0.003,0.003,0,0.003,5/29/2021 19:00,BTC-25JUN21-44000-P,P
0,1622419200,ok,0.003,0.003,0.003,0,0.003,5/30/2021 19:00,BTC-25JUN21-44000-P,P
0,1622505600,ok,0.003,0.003,0.003,0,0.003,5/31/2021 19:00,BTC-25JUN21-44000-P,P
0,1622592000,ok,0.003,0.003,0.003,0,0.003,6/1/2021 19:00,BTC-25JUN21-44000-P,P
0,1622678400,ok,0.003,0.003,0.003,0,0.003,6/2/2021 19:00,BTC-25JUN21-44000-P,P
0,1622764800,ok,0.003,0.003,0.003,0,0.003,6/3/2021 19:00,BTC-25JUN21-44000-P,P
0,1622851200,ok,0.003,0.003,0.003,0,0.003,6/4/2021 19:00,BTC-25JUN21-44000-P,P
0,1622937600,ok,0.003,0.003,0.003,0,0.003,6/5/2021 19:00,BTC-25JUN21-44000-P,P
0,1623024000,ok,0.003,0.003,0.003,0,0.003,6/6/2021 19:00,BTC-25JUN21-44000-P,P
9.4,1619568000,ok,0.212,0.202,0.336,2.49205,0.226,4/27/2021 19:00,BTC-31DEC21-60000-P,P
0.1,1619654400,ok,0.2695,0.2695,0.2695,0.02695,0.2695,4/28/2021 19:00,BTC-31DEC21-60000-P,P
0,1619740800,ok,0.2695,0.2695,0.2695,0,0.2695,4/29/2021 19:00,BTC-31DEC21-60000-P,P
0,1619827200,ok,0.2695,0.2695,0.2695,0,0.2695,4/30/2021 19:00,BTC-31DEC21-60000-P,P
0,1619913600,ok,0.2695,0.2695,0.2695,0,0.2695,5/1/2021 19:00,BTC-31DEC21-60000-P,P
0,1620000000,ok,0.2695,0.2695,0.2695,0,0.2695,5/2/2021 19:00,BTC-31DEC21-60000-P,P
0,1620086400,ok,0.2695,0.2695,0.2695,0,0.2695,5/3/2021 19:00,BTC-31DEC21-60000-P,P
0,1620172800,ok,0.2695,0.2695,0.2695,0,0.2695,5/4/2021 19:00,BTC-31DEC21-60000-P,P
0,1620259200,ok,0.2695,0.2695,0.2695,0,0.2695,5/5/2021 19:00,BTC-31DEC21-60000-P,P
0,1620345600,ok,0.2695,0.2695,0.2695,0,0.2695,5/6/2021 19:00,BTC-31DEC21-60000-P,P
0,1620432000,ok,0.2695,0.2695,0.2695,0,0.2695,5/7/2021 19:00,BTC-31DEC21-60000-P,P
0,1620518400,ok,0.2695,0.2695,0.2695,0,0.2695,5/8/2021 19:00,BTC-31DEC21-60000-P,P
15.8,1620604800,ok,0.274,0.2545,0.274,4.17515,0.2545,5/9/2021 19:00,BTC-31DEC21-60000-P,P
